a_type_1,a_type_2,a_hp,a_attack,a_defense,a_sp_atk,a_sp_def,a_speed,a_generation,a_legendary,b_type_1,b_type_2,b_hp,b_attack,b_defense,b_sp_atk,b_sp_def,b_speed,b_generation,b_legendary,did_a_win,pair_key
Bug,Poison,40,35,30,20,20,50,1,0,Water,Rock,54,78,103,53,45,22,5,0,0,Tirtouga_vs_Weedle
Electric,Dragon,90,95,105,165,110,45,2,0,Fighting,,65,105,60,60,70,95,1,0,0,Mega Ampharos_vs_Primeape
Grass,,40,45,35,65,55,70,3,0,Bug,Flying,40,20,30,40,80,55,2,0,1,Ledyba_vs_Treecko
Rock,Steel,30,42,118,42,88,30,4,0,Normal,,255,10,10,75,135,55,2,0,0,Blissey_vs_Shieldon
Dragon,Ground,108,100,121,81,95,95,6,1,Water,Flying,95,125,79,60,100,81,1,0,0,Gyarados_vs_Zygarde Half Forme
Normal,Flying,85,120,70,50,60,100,4,0,Bug,Flying,60,70,50,100,50,65,3,0,1,Beautifly_vs_Staraptor
Normal,,90,55,75,60,75,30,1,0,Water,Poison,65,95,75,55,55,85,2,0,0,Lickitung_vs_Qwilfish
Ghost,Fire,60,40,60,95,60,55,5,0,Fighting,,40,80,35,35,45,70,1,0,0,Lampent_vs_Mankey
Grass,,60,62,80,63,80,60,2,0,Electric,Water,50,65,107,105,107,86,4,0,0,Bayleef_vs_Wash Rotom
Grass,Poison,40,30,35,50,70,55,4,0,Ghost,Grass,49,66,70,44,55,51,6,0,1,Budew_vs_Pumpkaboo Average Size
Water,Flying,75,87,63,87,63,98,5,0,Rock,Ice,123,77,72,99,92,58,6,0,1,Aurorus_vs_Swanna
Fire,Fighting,80,160,80,130,80,100,3,0,Grass,Poison,45,49,49,65,65,45,1,0,1,Bulbasaur_vs_Mega Blaziken
Ice,,50,50,50,50,50,50,3,0,Normal,,59,45,40,35,40,31,4,0,1,Bidoof_vs_Snorunt
Water,,65,65,65,50,50,90,1,0,Bug,Steel,60,69,95,69,95,36,4,0,1,Poliwhirl_vs_Wormadam Trash Cloak
Fire,Fighting,110,123,65,100,65,65,5,0,Electric,Flying,55,75,60,75,60,103,5,0,0,Emboar_vs_Emolga
Water,,59,63,80,65,80,58,1,0,Water,Rock,100,90,130,45,65,55,3,0,1,Relicanth_vs_Wartortle
Poison,,60,85,69,65,79,80,1,0,Steel,,40,55,70,45,60,30,5,0,0,Arbok_vs_Klink
Normal,,84,71,43,71,43,48,3,0,Fire,,40,45,40,62,60,60,6,0,0,Fennekin_vs_Loudred
Psychic,,70,55,95,95,110,65,5,0,Poison,,80,95,82,60,82,75,5,0,0,Garbodor_vs_Gothitelle
Ghost,,60,60,60,105,105,105,4,0,Grass,,70,60,75,110,75,90,5,0,1,Lilligant_vs_Mismagius
Psychic,Flying,72,58,80,103,80,97,5,0,Normal,,45,55,39,35,39,42,5,0,1,Patrat_vs_Sigilyph
Water,Dark,72,95,67,103,71,122,6,0,Ghost,,44,75,35,63,33,45,3,0,1,Greninja_vs_Shuppet
Dragon,Flying,95,145,130,120,90,120,3,0,Dragon,,46,87,60,30,40,57,5,0,1,Axew_vs_Mega Salamence
Bug,,50,35,55,25,25,15,3,0,Dragon,Ground,108,170,115,120,95,92,4,0,0,Cascoon_vs_Mega Garchomp
Psychic,,65,40,50,125,60,30,5,0,Normal,Flying,65,90,65,61,61,100,1,0,0,Duosion_vs_Fearow
Fire,,105,140,55,30,55,95,5,0,Normal,,103,60,86,60,86,50,5,0,1,Audino_vs_Darmanitan Standard Mode
Fire,,40,45,40,62,60,60,6,0,Rock,Flying,80,135,85,70,95,150,1,0,0,Fennekin_vs_Mega Aerodactyl
Dragon,,65,95,100,60,50,50,3,0,Rock,,70,105,105,50,40,20,5,0,1,Boldore_vs_Shelgon
Bug,Fire,85,60,65,135,105,100,5,0,Dragon,Ground,68,90,65,50,55,82,4,0,1,Gabite_vs_Volcarona
Normal,Fairy,50,20,40,20,40,20,3,0,Ground,Fire,100,180,160,150,90,90,3,1,0,Azurill_vs_Primal Groudon
Rock,Water,42,52,67,39,56,50,6,0,Grass,Steel,44,50,91,24,86,10,5,0,1,Binacle_vs_Ferroseed
Electric,,60,85,49,60,49,60,4,0,Water,,100,75,115,90,115,85,2,1,0,Luxio_vs_Suicune
Fire,,75,95,67,125,95,83,4,0,Water,,45,67,60,35,50,63,1,0,1,Goldeen_vs_Magmortar
Water,Poison,40,40,35,50,100,70,1,0,Fire,,38,41,40,50,65,65,1,0,1,Tentacool_vs_Vulpix
Water,,43,30,55,40,65,97,3,0,Water,Ice,130,85,80,85,95,60,1,0,1,Lapras_vs_Luvdisc
Fire,,85,97,66,105,66,65,5,0,Grass,,100,100,100,100,100,100,4,1,0,Heatmor_vs_Shaymin Land Forme
Fighting,,75,80,55,25,35,35,5,0,Fighting,,35,35,35,35,35,35,2,0,0,Timburr_vs_Tyrogue
Steel,Psychic,80,145,150,105,110,110,3,0,Bug,Flying,70,94,50,94,50,66,4,0,1,Mega Metagross_vs_Mothim
Fairy,,35,20,65,40,65,20,2,0,Dark,Fire,75,90,90,140,90,115,2,0,0,Mega Houndoom_vs_Togepi
Normal,,110,85,95,80,95,50,4,0,Normal,,75,100,95,40,70,110,1,0,0,Lickilicky_vs_Tauros
Water,,130,70,35,70,35,60,3,0,Bug,Flying,60,45,50,90,80,70,1,0,0,Butterfree_vs_Wailmer
Normal,,30,56,35,25,35,72,1,0,Psychic,,70,55,95,95,110,65,5,0,1,Gothitelle_vs_Rattata
Fairy,,82,80,86,85,75,72,6,0,Normal,Psychic,100,77,77,128,128,90,5,0,0,Meloetta Aria Forme_vs_Slurpuff
Grass,,40,45,35,65,55,70,3,0,Water,Dark,72,95,67,103,71,122,6,0,0,Greninja_vs_Treecko
Fire,,58,64,58,80,65,80,1,0,Ground,,45,100,45,45,45,10,3,0,0,Charmeleon_vs_Trapinch
Electric,Fairy,67,58,57,81,67,101,6,0,Fire,Flying,78,84,78,109,85,100,1,0,1,Charizard_vs_Dedenne
Water,Psychic,95,75,80,100,110,30,2,0,Dark,Flying,110,65,105,55,95,80,5,0,0,Mandibuzz_vs_Slowking
Ground,Flying,89,145,90,105,80,91,5,1,Water,Rock,55,55,85,65,85,35,2,0,1,Corsola_vs_Landorus Therian Forme
Dragon,,41,64,45,50,50,50,1,0,Water,,55,130,115,50,50,75,1,0,0,Dratini_vs_Kingler
Psychic,Fairy,40,45,65,100,120,90,1,0,Steel,Fairy,57,80,91,80,87,75,6,0,1,Klefki_vs_Mr Mime
Normal,,60,80,50,50,50,40,2,0,Normal,,85,76,64,45,55,90,2,0,0,Furret_vs_Teddiursa
Psychic,Flying,65,75,70,95,70,95,2,0,Steel,Fairy,50,105,125,55,95,50,3,0,1,Mega Mawile_vs_Xatu
Normal,Flying,83,80,80,135,80,121,1,0,Rock,Steel,60,52,168,47,138,30,4,0,1,Bastiodon_vs_Mega Pidgeot
Rock,Ground,70,84,70,65,70,51,2,0,Dark,,41,50,37,50,37,66,5,0,0,Pupitar_vs_Purrloin
Dark,Psychic,86,92,88,68,75,73,6,0,Grass,,30,30,30,30,30,30,2,0,1,Malamar_vs_Sunkern
Grass,Poison,80,100,123,122,120,80,1,0,Bug,Poison,40,35,30,20,20,50,1,0,1,Mega Venusaur_vs_Weedle
Psychic,Flying,72,58,80,103,80,97,5,0,Ground,Rock,80,85,95,30,30,25,1,0,0,Rhyhorn_vs_Sigilyph
Rock,Steel,60,55,145,75,150,40,4,0,Fire,Ground,70,120,100,145,105,20,3,0,1,Mega Camerupt_vs_Probopass
Ground,,45,100,45,45,45,10,3,0,Bug,,50,35,55,25,25,15,3,0,0,Silcoon_vs_Trapinch
Normal,,103,60,86,60,86,50,5,0,Bug,Flying,65,155,120,65,90,105,1,0,0,Audino_vs_Mega Pinsir
Electric,,60,85,49,60,49,60,4,0,Psychic,Fighting,68,125,65,65,115,80,4,0,0,Gallade_vs_Luxio
Grass,,60,40,60,40,60,35,3,0,Bug,Rock,70,95,125,65,75,45,5,0,0,Crustle_vs_Shroomish
Rock,Psychic,70,95,85,55,65,70,3,0,Ground,Psychic,60,70,105,70,120,75,3,0,0,Claydol_vs_Solrock
Dark,Ice,70,120,65,45,85,125,4,0,Water,,30,40,70,70,25,60,1,0,1,Horsea_vs_Weavile
Ground,,50,50,95,40,50,35,1,0,Fairy,,70,45,48,60,65,35,1,0,0,Clefairy_vs_Cubone
Ground,Flying,89,145,90,105,80,91,5,1,Fire,Ground,70,120,100,145,105,20,3,0,1,Landorus Therian Forme_vs_Mega Camerupt
Ground,,45,100,45,45,45,10,3,0,Fire,Flying,62,73,55,56,52,84,6,0,1,Fletchinder_vs_Trapinch
Dragon,Ice,125,130,90,130,90,95,5,1,Poison,,105,105,75,65,100,50,1,0,1,Kyurem_vs_Muk
Fire,,90,110,80,100,80,95,1,0,Rock,Ground,70,84,70,65,70,51,2,0,1,Arcanine_vs_Pupitar
Grass,,30,30,30,30,30,30,2,0,Fire,Fighting,80,160,80,130,80,100,3,0,0,Mega Blaziken_vs_Sunkern
Ice,,51,65,65,80,75,59,5,0,Steel,Psychic,80,145,150,105,110,110,3,0,0,Mega Metagross_vs_Vanillish
Ghost,Flying,150,80,44,90,54,80,4,0,Dragon,,45,75,60,40,30,50,3,0,1,Bagon_vs_Drifblim
Water,,53,51,53,61,56,40,4,0,Water,,65,80,80,59,63,58,2,0,0,Croconaw_vs_Piplup
Bug,Steel,70,150,140,65,100,75,2,0,Psychic,,55,55,55,85,55,30,5,0,1,Elgyem_vs_Mega Scizor
Bug,Poison,60,50,70,50,90,65,3,0,Steel,Dragon,100,120,120,150,100,90,4,1,0,Dialga_vs_Dustox
Fire,,38,41,40,50,65,65,1,0,Dragon,,61,84,65,70,70,70,1,0,0,Dragonair_vs_Vulpix
Fighting,,90,130,80,65,85,55,1,0,Normal,,65,60,70,85,75,40,1,0,1,Machamp_vs_Porygon
Normal,,38,36,38,32,36,57,6,0,Psychic,Fairy,38,35,35,65,55,50,3,0,1,Bunnelby_vs_Kirlia
Ground,Flying,75,95,125,45,75,95,4,0,Water,Ground,110,78,73,76,71,60,3,0,1,Gliscor_vs_Whiscash
Steel,Flying,65,80,140,40,70,70,2,0,Rock,Steel,60,55,145,75,150,40,4,0,1,Probopass_vs_Skarmory
Ghost,Dark,50,92,108,92,108,35,4,0,Rock,Psychic,70,55,65,95,85,70,3,0,1,Lunatone_vs_Spiritomb
Dragon,Fire,100,120,100,150,120,90,5,1,Fire,,65,63,45,45,45,45,5,0,1,Reshiram_vs_Tepig
Normal,,71,82,64,64,59,112,4,0,Rock,Ground,40,80,100,30,30,20,1,0,1,Geodude_vs_Purugly
Bug,Poison,65,150,40,15,80,145,1,0,Poison,Flying,75,80,70,65,75,90,1,0,1,Golbat_vs_Mega Beedrill
Normal,,55,81,60,50,70,97,1,0,Psychic,,110,65,75,125,85,30,5,0,1,Raticate_vs_Reuniclus
Poison,,80,95,82,60,82,75,5,0,Dark,,35,55,35,30,30,35,3,0,1,Garbodor_vs_Poochyena
Grass,,55,68,64,45,55,31,4,0,Normal,Flying,40,60,30,31,31,70,1,0,0,Spearow_vs_Turtwig
Ghost,Dragon,150,120,100,120,100,90,4,1,Fire,,65,100,70,80,80,105,1,0,0,Giratina Origin Forme_vs_Rapidash
Fire,,75,98,63,98,63,101,5,0,Poison,,35,60,44,40,54,55,1,0,1,NidoranF_vs_Simisear
Rock,Ground,40,80,100,30,30,20,1,0,Normal,Flying,100,123,75,57,75,80,5,0,0,Braviary_vs_Geodude
Normal,,59,45,40,35,40,31,4,0,Psychic,Ghost,80,110,60,150,130,70,6,1,0,Bidoof_vs_Hoopa Confined
Rock,,70,100,115,30,65,30,2,0,Normal,,150,160,100,95,65,100,3,0,0,Slaking_vs_Sudowoodo
Ghost,Poison,45,50,45,115,55,95,1,0,Dragon,Flying,95,135,80,110,80,100,3,0,0,Haunter_vs_Salamence
Normal,,59,45,40,35,40,31,4,0,Dark,Steel,45,85,70,40,40,60,5,0,0,Bidoof_vs_Pawniard
Fire,,55,70,45,70,50,60,1,0,Dark,Dragon,72,85,70,65,70,58,5,0,1,Growlithe_vs_Zweilous
Poison,Flying,40,45,35,30,40,55,1,0,Normal,Flying,63,60,55,50,50,71,1,0,0,Pidgeotto_vs_Zubat
Dragon,Flying,75,70,90,70,105,80,3,0,Bug,Steel,58,109,112,48,48,109,5,0,0,Altaria_vs_Durant
Ice,Water,110,80,90,95,90,65,3,0,Bug,Flying,55,35,50,55,110,85,2,0,0,Ledian_vs_Walrein
Rock,Water,70,60,125,115,70,55,1,0,Steel,,60,80,95,70,85,50,5,0,1,Klang_vs_Omastar
Ghost,Flying,150,80,44,90,54,80,4,0,Bug,Steel,60,69,95,69,95,36,4,0,1,Drifblim_vs_Wormadam Trash Cloak
Grass,,80,82,100,83,100,80,2,0,Psychic,,45,30,50,55,65,45,5,0,1,Gothita_vs_Meganium
Normal,,78,70,61,50,61,100,3,0,Bug,Grass,45,53,70,40,60,42,5,0,1,Linoone_vs_Sewaddle
Ghost,,45,100,135,65,135,45,4,0,Poison,Ground,90,92,87,75,85,76,1,0,0,Dusknoir_vs_Nidoqueen
Ghost,Poison,45,50,45,115,55,95,1,0,Ghost,Fire,60,55,90,145,90,80,5,0,1,Chandelure_vs_Haunter
Rock,Fairy,50,160,110,160,110,110,6,1,Psychic,,120,70,120,75,130,85,4,0,1,Cresselia_vs_Mega Diancie
Rock,Fairy,50,160,110,160,110,110,6,1,Rock,Water,42,52,67,39,56,50,6,0,1,Binacle_vs_Mega Diancie
Poison,Fighting,83,106,65,86,65,85,4,0,Fighting,Dark,95,124,78,69,71,58,6,0,1,Pangoro_vs_Toxicroak
Grass,,75,75,95,75,95,113,5,0,Fire,,70,85,140,85,70,20,3,0,0,Serperior_vs_Torkoal
Water,,50,53,62,58,63,44,6,0,Water,Ice,50,95,180,85,45,70,1,0,0,Clauncher_vs_Cloyster
Water,Flying,62,44,50,44,50,55,5,0,Water,,100,100,100,100,100,100,4,0,0,Ducklett_vs_Manaphy
Steel,Rock,50,70,100,40,40,30,3,0,Grass,,70,60,70,87,78,85,4,0,1,Aron_vs_Cherrim
Bug,Poison,70,65,60,90,75,90,1,0,Fire,,58,64,58,80,65,80,1,0,1,Charmeleon_vs_Venomoth
Water,,75,75,60,83,60,60,5,0,Psychic,,55,50,45,135,95,120,1,0,0,Alakazam_vs_Dewott
Water,Ground,111,83,68,92,82,39,4,0,Ground,Steel,110,135,60,50,65,88,5,0,0,Excadrill_vs_Gastrodon
Ice,Water,110,80,90,95,90,65,3,0,Water,Electric,125,58,58,76,76,67,2,0,0,Lanturn_vs_Walrein
Electric,,60,50,40,85,75,95,3,0,Dark,Ghost,50,85,125,85,115,20,3,0,0,Mega Sableye_vs_Plusle
Fighting,,67,82,62,46,48,43,6,0,Rock,Grass,86,81,97,81,107,43,3,0,0,Cradily_vs_Pancham
Grass,Poison,65,90,50,85,45,55,1,0,Normal,Flying,80,115,80,65,55,93,5,0,0,Unfezant_vs_Weepinbell
Electric,Dragon,90,95,105,165,110,45,2,0,Grass,,70,85,65,105,85,120,3,0,0,Mega Ampharos_vs_Sceptile
Grass,,45,35,50,70,50,30,5,0,Water,Fighting,90,95,95,70,90,70,1,0,0,Petilil_vs_Poliwrath
Psychic,Fighting,68,125,65,65,115,80,4,0,Electric,,60,50,70,80,80,140,1,0,1,Electrode_vs_Gallade
Normal,,75,95,60,65,60,115,5,0,Bug,Poison,30,45,59,30,39,57,5,0,1,Cinccino_vs_Venipede
Water,Fighting,91,72,90,129,90,108,5,0,Flying,,79,100,80,110,90,121,5,1,0,Keldeo Resolute Forme_vs_Tornadus Therian Forme
Fairy,,62,48,66,59,57,49,6,0,Ghost,Dark,50,92,108,92,108,35,4,0,1,Spiritomb_vs_Swirlix
Water,Dark,72,95,67,103,71,122,6,0,Fire,Fighting,64,78,52,78,52,81,4,0,1,Greninja_vs_Monferno
Water,,50,50,40,50,40,64,5,0,Normal,,105,125,100,60,100,100,1,0,0,Mega Kangaskhan_vs_Tympole
Dragon,Ground,108,170,115,120,95,92,4,0,Steel,,60,100,115,70,85,90,5,0,1,Klinklang_vs_Mega Garchomp
Ground,,60,80,110,50,80,45,1,0,Psychic,,55,50,65,175,95,150,1,0,0,Marowak_vs_Mega Alakazam
Ice,,50,50,50,50,50,50,3,0,Fire,Fighting,60,85,60,85,60,55,3,0,0,Combusken_vs_Snorunt
Grass,Poison,45,49,49,65,65,45,1,0,Electric,Flying,79,105,70,145,80,101,5,1,0,Bulbasaur_vs_Thundurus Therian Forme
Normal,Flying,70,83,50,37,50,60,5,0,Psychic,,74,48,76,83,81,104,6,0,0,Meowstic Male_vs_Rufflet
Water,Ground,100,150,110,95,110,70,3,0,Normal,,85,110,90,45,90,80,5,0,0,Mega Swampert_vs_Stoutland
Psychic,Fighting,68,125,65,65,115,80,4,0,Water,,44,48,65,50,64,43,1,0,1,Gallade_vs_Squirtle
Dark,Steel,65,125,100,60,70,70,5,0,Psychic,,50,150,50,150,50,150,3,1,1,Bisharp_vs_Deoxys Normal Forme
Electric,,45,60,32,50,32,76,5,0,Psychic,,76,25,45,67,55,24,5,0,1,Blitzle_vs_Munna
Fire,Flying,78,104,78,159,115,100,1,0,Normal,,135,85,40,40,85,5,4,0,1,Mega Charizard Y_vs_Munchlax
Fire,,70,90,45,15,45,50,5,0,Poison,,80,95,82,60,82,75,5,0,0,Darumaka_vs_Garbodor
Rock,Water,72,105,115,54,86,68,6,0,Dark,Ice,55,95,55,35,75,115,2,0,0,Barbaracle_vs_Sneasel
Water,,50,65,64,44,48,43,2,0,Dark,Dragon,72,85,70,65,70,58,5,0,0,Totodile_vs_Zweilous
Electric,Fairy,67,58,57,81,67,101,6,0,Water,,54,63,52,83,56,97,6,0,1,Dedenne_vs_Frogadier
Normal,Flying,83,80,75,70,70,101,1,0,Poison,,55,47,52,40,40,41,1,0,1,Nidoran_vs_Pidgeot
Ghost,,44,75,35,63,33,45,3,0,Ghost,,20,40,90,30,90,25,3,0,1,Duskull_vs_Shuppet
Bug,Grass,75,103,80,70,80,92,5,0,Grass,Poison,50,60,45,100,80,65,3,0,1,Leavanny_vs_Roselia
Grass,,65,110,130,60,65,95,4,0,Fairy,,101,72,72,99,89,29,6,0,1,Aromatisse_vs_Leafeon
Poison,Flying,40,45,35,30,40,55,1,0,Normal,,40,45,35,40,40,90,1,0,0,Meowth_vs_Zubat
Rock,Steel,30,42,118,42,88,30,4,0,Ground,Flying,65,75,105,35,65,85,2,0,0,Gligar_vs_Shieldon
Grass,,55,68,64,45,55,31,4,0,Normal,Flying,55,75,50,40,40,80,4,0,0,Staravia_vs_Turtwig
Electric,Fire,50,65,107,105,107,86,4,0,Ice,Flying,45,55,45,65,45,75,2,0,1,Delibird_vs_Heat Rotom
Water,Ice,130,85,80,85,95,60,1,0,Water,,65,65,65,50,50,90,1,0,0,Lapras_vs_Poliwhirl
Ice,,55,70,40,60,40,40,5,0,Electric,,60,50,40,85,75,95,3,0,0,Cubchoo_vs_Plusle
Fire,Fighting,80,160,80,130,80,100,3,0,Ice,,70,50,30,95,135,105,5,0,0,Cryogonal_vs_Mega Blaziken
Water,,75,105,75,105,75,45,2,0,Normal,Flying,45,50,43,40,38,62,6,0,0,Fletchling_vs_Octillery
Fire,Steel,91,90,106,130,106,77,4,1,Fairy,Flying,85,50,95,120,115,80,4,0,0,Heatran_vs_Togekiss
Ground,,75,100,110,45,55,65,1,0,Bug,Fighting,80,185,115,40,105,75,2,0,0,Mega Heracross_vs_Sandslash
Water,Ice,130,85,80,85,95,60,1,0,Fire,,65,95,57,100,85,93,1,0,0,Lapras_vs_Magmar
Poison,,80,80,50,40,50,25,1,0,Electric,,75,100,63,80,63,116,5,0,0,Grimer_vs_Zebstrika
Bug,Fire,85,60,65,135,105,100,5,0,Poison,,70,43,53,43,53,40,3,0,1,Gulpin_vs_Volcarona
Water,,76,48,48,57,62,34,4,0,Psychic,,106,150,70,194,120,140,1,1,0,Mega Mewtwo Y_vs_Shellos
Ice,,50,50,50,50,50,50,3,0,Ground,,45,100,45,45,45,10,3,0,1,Snorunt_vs_Trapinch
Electric,Flying,50,65,107,105,107,86,4,0,Flying,Dragon,40,30,35,45,40,55,6,0,1,Fan Rotom_vs_Noibat
Grass,,74,100,72,90,72,46,4,0,Dark,,70,90,90,135,90,125,4,1,0,Carnivine_vs_Darkrai
Electric,,60,50,70,80,80,140,1,0,Psychic,Fairy,68,85,65,165,135,100,3,0,1,Electrode_vs_Mega Gardevoir
Water,Fighting,91,72,90,129,90,108,5,0,Psychic,,106,110,90,154,90,130,1,1,0,Keldeo Ordinary Forme_vs_Mewtwo
Normal,,95,80,105,40,70,100,2,0,Dragon,Flying,105,150,90,150,90,95,3,1,1,Miltank_vs_Rayquaza
Fairy,,78,65,68,112,154,75,6,0,Bug,,65,47,55,73,75,85,3,0,0,Florges_vs_Illumise
Water,,95,100,85,108,70,70,5,0,Water,,70,92,65,80,55,98,5,0,0,Basculin_vs_Samurott
Bug,,65,125,100,55,70,85,1,0,Electric,,90,75,85,115,90,55,2,0,1,Ampharos_vs_Pinsir
Bug,Steel,58,109,112,48,48,109,5,0,Fighting,,40,70,40,35,40,60,4,0,1,Durant_vs_Riolu
Ghost,Flying,90,50,34,60,44,70,4,0,Normal,,105,125,100,60,100,100,1,0,0,Drifloon_vs_Mega Kangaskhan
Ground,Dark,50,72,35,35,35,65,5,0,Ground,,100,150,140,100,90,90,3,1,0,Groudon_vs_Sandile
Dark,Fire,45,60,30,80,50,65,2,0,Normal,,60,90,70,60,120,40,3,0,1,Houndour_vs_Kecleon
Psychic,,95,23,48,23,48,23,3,0,Psychic,,76,25,45,67,55,24,5,0,0,Munna_vs_Wynaut
Ghost,Grass,49,66,70,44,55,51,6,0,Normal,,95,80,105,40,70,100,2,0,0,Miltank_vs_Pumpkaboo Average Size
Fairy,,44,38,39,61,79,42,6,0,Bug,Flying,60,70,50,100,50,65,3,0,0,Beautifly_vs_Flabb
Ice,Flying,90,85,100,95,125,85,1,1,Ice,,80,50,100,100,200,50,3,1,1,Articuno_vs_Regice
Grass,Dragon,70,110,75,145,85,145,3,0,Normal,,85,80,90,105,95,60,2,0,1,Mega Sceptile_vs_Porygon2
Ghost,,44,75,35,63,33,45,3,0,Fire,Ground,70,100,70,105,75,40,3,0,1,Camerupt_vs_Shuppet
Water,,75,105,75,105,75,45,2,0,Rock,Psychic,70,55,65,95,85,70,3,0,0,Lunatone_vs_Octillery
Fire,Ground,70,120,100,145,105,20,3,0,Bug,,37,25,41,25,41,25,4,0,1,Kricketot_vs_Mega Camerupt
Psychic,,116,55,85,107,95,29,5,0,Water,Dark,70,120,40,95,40,95,3,0,0,Musharna_vs_Sharpedo
Psychic,,190,33,58,33,58,33,2,0,Water,Ice,130,85,80,85,95,60,1,0,0,Lapras_vs_Wobbuffet
Normal,,55,81,60,50,70,97,1,0,Fire,,58,64,58,80,65,80,2,0,1,Quilava_vs_Raticate
Water,,59,63,80,65,80,58,1,0,Rock,Steel,30,42,118,42,88,30,4,0,1,Shieldon_vs_Wartortle
Dragon,Psychic,80,130,100,160,120,110,3,1,Poison,Fighting,48,61,40,61,40,50,4,0,1,Croagunk_vs_Mega Latios
Normal,,64,51,23,51,23,28,3,0,Poison,Flying,85,90,80,70,80,130,2,0,0,Crobat_vs_Whismur
Ice,,50,50,50,50,50,50,3,0,Dark,Dragon,92,105,90,125,90,98,5,0,0,Hydreigon_vs_Snorunt
Rock,,70,100,115,30,65,30,2,0,Dragon,,68,75,53,83,113,60,6,0,0,Sliggoo_vs_Sudowoodo
Fire,,55,70,45,70,50,60,1,0,Water,,50,50,40,50,40,64,5,0,0,Growlithe_vs_Tympole
Grass,Ice,60,62,50,62,60,40,4,0,Normal,,70,70,70,70,70,70,3,0,0,Castform_vs_Snover
Bug,Steel,71,120,95,120,95,99,5,0,Steel,Psychic,80,145,150,105,110,110,3,0,0,Genesect_vs_Mega Metagross
Fairy,,78,65,68,112,154,75,6,0,Ground,Dark,50,72,35,35,35,65,5,0,1,Florges_vs_Sandile
Water,Fairy,100,50,80,60,80,50,2,0,Dragon,Flying,91,134,95,100,100,80,1,0,0,Azumarill_vs_Dragonite
Water,,20,10,55,15,20,80,1,0,Poison,Dark,63,63,47,41,41,74,4,0,1,Magikarp_vs_Stunky
Ice,Ground,50,50,40,30,30,50,2,0,Rock,,97,165,60,65,50,58,4,0,0,Rampardos_vs_Swinub
Fire,,73,76,75,81,100,100,1,0,Ghost,Grass,65,90,122,58,75,84,6,0,1,Gourgeist Average Size_vs_Ninetales
Water,,54,63,52,83,56,97,6,0,Poison,Fighting,83,106,65,86,65,85,4,0,1,Frogadier_vs_Toxicroak
Grass,,123,100,62,97,81,68,6,0,Electric,,80,120,79,95,79,70,4,0,0,Gogoat_vs_Luxray
Steel,Psychic,80,135,130,95,90,70,3,0,Steel,Ghost,45,80,100,35,37,28,6,0,1,Honedge_vs_Metagross
Fire,Fighting,76,104,71,104,71,108,4,0,Psychic,,62,48,54,63,60,68,6,0,1,Espurr_vs_Infernape
Rock,Water,42,52,67,39,56,50,6,0,Psychic,Flying,40,50,45,70,45,70,2,0,0,Binacle_vs_Natu
Ice,,70,50,30,95,135,105,5,0,Psychic,,50,150,50,150,50,150,3,1,0,Cryogonal_vs_Deoxys Normal Forme
Water,,55,55,45,63,45,45,5,0,Electric,,35,55,40,50,50,90,1,0,0,Oshawott_vs_Pikachu
Electric,Grass,50,65,107,105,107,86,4,0,Ghost,Grass,54,66,70,44,55,46,6,0,1,Mow Rotom_vs_Pumpkaboo Large Size
Bug,Poison,40,60,40,40,40,30,2,0,Ground,Psychic,40,40,55,40,70,55,3,0,0,Baltoy_vs_Spinarak
Flying,,79,100,80,110,90,121,5,1,Normal,Flying,70,83,50,37,50,60,5,0,1,Rufflet_vs_Tornadus Therian Forme
Grass,Ground,95,109,105,75,85,56,4,0,Water,Ground,105,95,75,85,75,74,5,0,0,Seismitoad_vs_Torterra
Water,,50,53,48,53,48,64,5,0,Grass,Flying,35,35,40,35,55,50,2,0,1,Hoppip_vs_Panpour
Poison,,100,73,83,73,83,55,3,0,Bug,Flying,80,52,50,90,50,89,6,0,0,Swalot_vs_Vivillon
Fire,,75,95,67,125,95,83,4,0,Grass,Dark,70,115,60,115,60,55,3,0,1,Cacturne_vs_Magmortar
Poison,Flying,75,80,70,65,75,90,1,0,Bug,Rock,50,65,85,35,35,55,5,0,1,Dwebble_vs_Golbat
Bug,Grass,60,95,80,60,80,30,1,0,Psychic,,65,50,70,95,80,65,3,0,0,Chimecho_vs_Parasect
Ice,Ground,100,100,80,60,60,50,2,0,Electric,,45,63,37,65,55,95,2,0,0,Elekid_vs_Piloswine
Steel,Ghost,45,80,100,35,37,28,6,0,Water,Electric,75,38,38,56,56,67,2,0,0,Chinchou_vs_Honedge
Poison,Ground,81,102,77,85,75,85,1,0,Steel,Psychic,60,75,100,55,80,50,3,0,0,Metang_vs_Nidoking
Normal,,65,76,84,54,96,105,4,0,Water,,43,30,55,40,65,97,3,0,1,Lopunny_vs_Luvdisc
Poison,Flying,85,90,80,70,80,130,2,0,Normal,,85,110,90,45,90,80,5,0,1,Crobat_vs_Stoutland
Water,,54,63,52,83,56,97,6,0,Steel,Ghost,60,50,150,50,150,60,6,0,0,Aegislash Shield Forme_vs_Frogadier
Fighting,,50,95,95,35,110,70,2,0,Normal,,84,71,43,71,43,48,3,0,1,Hitmontop_vs_Loudred
Bug,Fire,85,60,65,135,105,100,5,0,Normal,,60,60,60,60,60,60,3,0,1,Spinda_vs_Volcarona
Water,Fighting,90,95,95,70,90,70,1,0,Water,Steel,84,86,88,111,101,60,4,0,1,Empoleon_vs_Poliwrath
